id;username;linkedin;reg_datetime;reg_code;experience;status
1;LaidongShI;Home@Table Computer;2019-11-02T02:26:52;FTP Savings Account;8;Inactive
2;Peter E;Albania@t;2019-11-01T17:28:31;intangible;6;Active
3;MultiDavd;Cambridge@shire;2019-11-01T13:37:27;Refined Rubber Chicken Table;6;Inactive
4;Lili;Nakfa@;2019-11-01T17:16:42;Rubber Buckinghamshire Games;9;Inactive
5;Jason;Mayotte;2019-11-01T23:24:19;Facilitator;6;Active
6;Dong;Dfss;2019-11-01T18:30:49;interactive generating compelling;9;Inactive
7;Mayott;Books@orange ;2019-11-01T08:16:16;monitor;7;Inactive
8;rgonomic;Moratorium@torium;2019-11-01T10:19:53;withdrawal COM;7;Inactive
9; Robust Networked;Poland;2019-11-01T17:34:52;Grocery;9;Inactive
10;Harbor Liu;CorpoPhased@rela;2019-11-01T09:42:32;User-centric;6;Inactive
