id;cal_date;duration;remarks
1;2019-11-03T23:34:15;Morning0800;paradigms Home
2;2019-11-03T16:10:28;Morning1000;Designer Persistent
3;2019-11-03T08:19:30;Afternoon1600;Re-contextualized
4;2019-11-03T05:10:52;Afternoon1600;Solomon Islands Licensed
5;2019-11-03T04:24:33;Afternoon1600;Argentine Peso
6;2019-11-03T03:51:21;Morning1000;Buckinghamshire Future-proofed deposit
7;2019-11-03T20:16:17;Morning0800;Forint
8;2019-11-03T06:48:40;Morning0800;SMS Enhanced
9;2019-11-03T08:37:00;Morning0800;Borders content-based
10;2019-11-03T00:32:47;Morning1000;Human deposit
