id;txn_type;amount;total_amount_to_mentor;issued_time;remarks
1;PAID;29763;89552;2019-11-02T01:26:34;Small Frozen Salad bypassing
2;PAID;95060;48252;2019-11-01T14:04:49;deposit Common
3;PAID;55370;67251;2019-11-01T22:44:14;Data neural Wooden
4;PAID;88770;54591;2019-11-01T19:25:14;Frozen Metal program
5;CANCELLED;42609;70096;2019-11-01T22:30:03;revolutionize
6;PAID;98663;58130;2019-11-01T18:51:36;transition open-source Interactions
7;PAID;48166;77714;2019-11-01T18:46:15;system Triple-buffered
8;PAID;49262;25368;2019-11-02T03:34:12;Parkway Handmade Wooden Cheese
9;CANCELLED;74421;74604;2019-11-01T11:29:52;Versatile seize
10;PAID;22359;43633;2019-11-01T04:43:32;Industrial Designer Incredible Fresh Car
