id;name;toc;preprequisites
1;Principal Java;Paraguay;Sleek Tuna magenta
2;HTML;Naira iterate;Unbranded Plastic Chips Brand Regional
3;Generic B2B;olive;facilitate Persevering
4;K8S;zero defect Ridges Beauty;groupware
5;CSS Frozen;parsing;models New Mexico District
6;Javascript;Aruba Chair portals;online Strategist Shirt
7;Rad Hat openshift;generating bypassing Bypass;Plastic Movies
8;Docker;Zimbabwe parse Customer;input Accounts
9;Linux Shell;Response;white SMTP
10;Jenkin CICD;Borders Springs connecting;SAS
