id;status;name;commission_amount;avg_rating;start_date;end_date;remarks
1;Active;Internal AI optical;64203;85092;2019-11-03T22:26:13;2019-11-03T02:00:05;solid state
2;Inactive;Supervisor clear-thinking;30536;54873;2019-11-03T12:48:06;2019-11-03T07:51:03;invoice Devolved
3;Inactive;payment calculating;65761;30806;2019-11-03T10:49:01;2019-11-03T11:26:08;Berkshire
4;Inactive;Coordinator Cambridgeshire Investor;43439;79481;2019-11-03T16:03:16;2019-11-03T12:23:35;North Dakota Cambridgeshire
5;Inactive;local Shoes;64547;4360;2019-11-03T20:12:20;2019-11-03T00:35:14;Villages uniform PCI
6;Active;Wisconsin Facilitator Incredible;30569;38509;2019-11-03T19:52:28;2019-11-03T04:01:45;infrastructure
7;Inactive;Configuration UIC-Franc;57006;7041;2019-11-03T22:07:27;2019-11-03T19:26:32;Zambian Kwacha intuitive
8;Active;portal calculating Metal;70891;35949;2019-11-03T11:11:19;2019-11-03T17:24:36;redundant
9;Inactive;Borders;79829;19427;2019-11-03T08:51:26;2019-11-03T22:45:13;extend Unbranded Fresh Pants Tools
10;Active;implementation;15504;54264;2019-11-03T00:53:32;2019-11-03T17:34:46;Utah Computers Small Fresh Gloves
