id;status;progress;commission_amount;avg_rating;amount_received;user_name;fees;remarks
1;Completed;82786;76999;27154;21582;Investment Account Refined Intelligent Granite Shirt;54063;deposit panel Strategist
2;Propose;43352;43897;74404;7845;Electronics;96264;navigating
3;Propose;23978;54922;9387;71459;invoice;27993;Operations alarm
4;Progress;4771;24773;56603;35597;hack;1439;Wooden Ergonomic Steel Gloves
5;Progress;76336;49161;80691;47347;Shoes systems;39850;Personal Loan Account
6;Progress;1530;62585;93343;50313;EXE payment;16293;Tasty Metal Sausages Outdoors
7;Progress;67716;38816;57336;64328;Station;54561;Web revolutionize Branding
8;Propose;37725;1822;3896;9444;Gourde US Dollar Handcrafted Plastic Shirt;84487;Garden open-source hybrid
9;Propose;34833;62894;93664;87747;system;80348;intermediate Table quantify
10;Propose;25001;77641;58054;34080;Infrastructure SSL bandwidth;75087;compress Fantastic Global
