id;cal_date;duration;remarks
1;2019-10-31T13:17:06;Morning1000;paradigms Home
2;2019-10-31T05:53:19;Afternoon1600;Designer Persistent
3;2019-10-30T22:02:21;Afternoon1400;Re-contextualized
4;2019-10-30T18:53:42;Afternoon1400;Solomon Islands Licensed
5;2019-10-30T18:07:23;Afternoon1400;Argentine Peso
6;2019-10-30T17:34:11;Morning1000;Buckinghamshire Future-proofed deposit
7;2019-10-31T09:59:08;Afternoon1400;Forint
8;2019-10-30T20:31:31;Afternoon1400;SMS Enhanced
9;2019-10-30T22:19:51;Morning0800;Borders content-based
10;2019-10-30T14:15:37;Morning0800;Human deposit
