id;txn_type;amount;total_amount_to_mentor;issued_time;remarks
1;PAID;29763;89552;2019-10-31T11:46:15;Small Frozen Salad bypassing
2;CANCELLED;95060;48252;2019-10-31T00:24:29;deposit Common
3;PAID;55370;67251;2019-10-31T09:03:54;Data neural Wooden
4;CANCELLED;88770;54591;2019-10-31T05:44:54;Frozen Metal program
5;CANCELLED;42609;70096;2019-10-31T08:49:43;revolutionize
6;CANCELLED;98663;58130;2019-10-31T05:11:17;transition open-source Interactions
7;CANCELLED;48166;77714;2019-10-31T05:05:55;system Triple-buffered
8;PAID;49262;25368;2019-10-31T13:53:52;Parkway Handmade Wooden Cheese
9;PAID;74421;74604;2019-10-30T21:49:32;Versatile seize
10;ISSUED;22359;43633;2019-10-30T15:03:12;Industrial Designer Incredible Fresh Car
