id;status;name;commission_amount;avg_rating;start_date;end_date;remarks
1;Active;Internal AI optical;64203;85092;2019-10-31T12:09:03;2019-10-30T15:42:55;solid state
2;Inactive;Supervisor clear-thinking;30536;54873;2019-10-31T02:30:56;2019-10-30T21:33:54;invoice Devolved
3;Inactive;payment calculating;65761;30806;2019-10-31T00:31:52;2019-10-31T01:08:58;Berkshire
4;Inactive;Coordinator Cambridgeshire Investor;43439;79481;2019-10-31T05:46:06;2019-10-31T02:06:26;North Dakota Cambridgeshire
5;Inactive;local Shoes;64547;4360;2019-10-31T09:55:11;2019-10-30T14:18:05;Villages uniform PCI
6;Inactive;Wisconsin Facilitator Incredible;30569;38509;2019-10-31T09:35:18;2019-10-30T17:44:36;infrastructure
7;Active;Configuration UIC-Franc;57006;7041;2019-10-31T11:50:17;2019-10-31T09:09:22;Zambian Kwacha intuitive
8;Inactive;portal calculating Metal;70891;35949;2019-10-31T00:54:10;2019-10-31T07:07:27;redundant
9;Inactive;Borders;79829;19427;2019-10-30T22:34:17;2019-10-31T12:28:04;extend Unbranded Fresh Pants Tools
10;Inactive;implementation;15504;54264;2019-10-30T14:36:23;2019-10-31T07:17:36;Utah Computers Small Fresh Gloves
