id;status;name;commission_amount;avg_rating;start_date;end_date;mentor_id;mentor_name;skill_name;remarks
1;Active;Home Loan Account Table Computer;5808;45924;2019-10-30T15:07:28;2019-10-31T03:54:12;60111;alarm;Tasty Metal Bacon;red Chips Soap
2;Inactive;web-readiness;29122;52477;2019-10-30T21:13:41;2019-10-31T02:18:57;13949;zero administration;Multi-channelled Licensed;grey Cambridgeshire
3;Active;Table Small Frozen Sausages Planner;80839;38541;2019-10-31T04:36:06;2019-10-31T11:31:45;9767;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized
4;Active;Mayotte;18485;3131;2019-10-30T12:38:33;2019-10-30T15:41:52;77513;Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza
5;Active;compelling mission-critical;54269;27599;2019-10-31T08:31:49;2019-10-31T04:48:07;80219;Small;deliverables reinvent 24 hour;overriding
6;Active;world-class Frozen IB;62329;44945;2019-10-31T03:58:15;2019-10-31T09:37:21;6355;moratorium moratorium;New York tangible Mississippi;Frozen bus
7;Active;Poland;42754;11089;2019-10-31T11:18:08;2019-10-31T01:22:06;10789;Outdoors;Harbor Montana;Corporate Phased relationships
8;Active;Salad Web virtual;63340;10549;2019-10-30T14:59:51;2019-10-31T00:57:20;80367;maroon;EXE projection Fresh;support Gorgeous
9;Inactive;copying;86073;30478;2019-10-31T11:44:44;2019-10-31T07:57:38;51074;supply-chains magenta;encompassing;Directives
10;Active;Kenyan Shilling robust;97178;25391;2019-10-30T12:48:50;2019-10-31T05:59:15;25178;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor
