id;status;progress;commission_amount;avg_rating;amount_received;user_name;fees;remarks
1;Propose;53093;48945;44778;98565;Persistent Bulgarian Lev;76161;Ergonomic transmitter
2;Completed;39882;53577;81643;9028;hacking installation magenta;4077;Kentucky Algerian Dinar Clothing
3;Propose;9617;17436;94052;69093;synthesize Creative;13752;bricks-and-clicks Concrete Global
4;Progress;98216;55520;51663;52965;Vision-oriented;9310;Customer Human deposit
5;Progress;84666;89711;85632;88708;optical invoice;8413;Cheese Dynamic Home Loan Account
6;Propose;94013;66350;97366;506;Gloves;54873;Cayman Islands Dollar invoice
7;Propose;1807;23724;49389;32539;navigate;64963;calculating withdrawal Nevada
8;Completed;63633;26520;25046;24398;Strategist target;89204;withdrawal cross-platform Borders
9;Progress;23018;72245;49919;28077;Shoes deposit;17711;Applications Response Human
10;Progress;33075;42818;55276;96665;Strategist SDD;29444;reinvent
