id;txn_type;amount;mentor_id;mentor_name;training_id;skill_name;total_amount_to_mentor;remarks
1;CANCELLED;52837;22359;Assistant Industrial;96987;Incredible Fresh Car Tuvalu;99296;Gorgeous Rubber Chicken Associate Central African Republic
2;CANCELLED;99583;62755;Maryland Legacy Unbranded Plastic Chips;95041;Regional;45565;Money Market Account
3;PAID;64684;46369;one-to-one Indiana;7773;Engineer Architect;69816;Falkland Islands (Malvinas)
4;CANCELLED;60278;68473;Keyboard;91092;parsing;94979;hard drive Personal Loan Account
5;CANCELLED;55158;4521;Grocery;37646;online Strategist Shirt;59413;disintermediate Assistant generating
6;PAID;7535;86472;haptic Producer Agent;55543;input Accounts;84964;Ergonomic Falls
7;ISSUED;27473;60617;Synergized;67170;Checking Account global Steel;67157;Kyrgyz Republic transmit
8;CANCELLED;96797;56093;PNG;40348;Granite Grocery;75513;Credit Card Account transmitter cyan
9;CANCELLED;98046;35058;New York mesh;43747;International;34825;Berkshire solid state
10;PAID;69764;94952;Granite Configuration Buckinghamshire;25824;Canyon;98003;Berkshire concept
