id;name;toc;preprequisites
1;open architecture alliance;online;Bulgarian Lev Cambridgeshire
2;Regional;Home;primary quantify Chips
3;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball
4;feed;connecting generate Music;Inlet Hungary Configurable
5;interface;Toys;overriding
6;internet solution;Total;Investment Account Indian Rupee
7;withdrawal Club Nebraska;Nevada quantify architectures;empower
8;customized payment;Grass-roots Cambridgeshire;Personal Loan Account
9;Music;Pants;Avon
10;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent
