id;txn_type;amount;total_amount_to_mentor;issued_time;user_id;remarks
1;ISSUED;77969;59865;2019-11-03T22:52:46;15601;Computer Practical Fresh Pants
2;ISSUED;5641;96990;2019-11-03T19:52:33;83244;red Chips Soap
3;ISSUED;706;43194;2019-11-04T12:39:01;29122;Investment Account Steel
4;PAID;23277;45606;2019-11-04T11:01:45;78517;grey Cambridgeshire
5;PAID;68030;17052;2019-11-04T02:23:30;6505;Factors
6;CANCELLED;23089;68423;2019-11-04T07:25:09;44015;Rubber Buckinghamshire Games
7;ISSUED;42515;52006;2019-11-04T08:12:47;54671;Chair Facilitator
8;ISSUED;72727;92187;2019-11-04T05:22:00;8849;sky blue Tasty Plastic Pizza
9;PAID;58675;35675;2019-11-03T14:02:16;28093;Faroe Islands Plastic
10;ISSUED;39488;19871;2019-11-04T06:09:36;552;overriding
