id;username;linkedin;reg_datetime;reg_code;experience;status
1;mobile Fish;Home Loan Account Table Computer;2019-11-04T10:50:32;FTP Savings Account;70807;Active
2;Implementation Electronics Officer;methodology Albania;2019-11-04T01:52:11;intangible;61185;Active
3;Multi-channelled Licensed;grey Cambridgeshire;2019-11-03T22:01:07;Refined Rubber Chicken Table;6505;Inactive
4;South Dakota envisioneer Music;Nakfa;2019-11-04T01:40:22;Rubber Buckinghamshire Games;90932;Inactive
5;convergence;Mayotte;2019-11-04T07:47:59;Facilitator;77513;Inactive
6;capacitor archive;sky blue Tasty Plastic Pizza;2019-11-04T02:54:29;interactive generating compelling;28093;Active
7;Car Industrial deliverables;orange Books;2019-11-03T16:39:56;monitor;72900;Inactive
8;generating Highway Ergonomic;moratorium moratorium;2019-11-03T18:43:33;withdrawal COM;47221;Inactive
9;hard drive Robust Networked;Poland;2019-11-04T01:58:32;Grocery;10789;Inactive
10;Harbor Montana;Corporate Phased relationships;2019-11-03T18:06:12;User-centric;7697;Active
