id;cal_date;duration;member_id;remarks
1;2019-11-09T15:19:03;Morning1000;41038;override User-centric
2;2019-11-10T11:15:05;Morning0800;92969;virtual deposit
3;2019-11-09T16:11:03;Afternoon1400;89255;Ghana back-end National
4;2019-11-10T05:28:01;Afternoon1400;81801;SQL Games
5;2019-11-10T00:50:28;Morning0800;11986;24/7
6;2019-11-09T14:28:10;Morning1000;51879;Kenyan Shilling robust
7;2019-11-09T13:46:35;Afternoon1600;25178;Buckinghamshire capability zero tolerance
8;2019-11-10T12:12:49;Afternoon1600;50267;Small Plastic Pants Investor
9;2019-11-10T07:20:58;Morning1000;24205;Bulgarian Lev navigate
10;2019-11-10T07:23:45;Afternoon1400;36778;invoice withdrawal
