id;status;name;commission_amount;avg_rating;start_date;end_date;remarks
1;Active;Internal AI optical;64203;85092;2019-11-04T10:09:12;2019-11-03T13:43:04;solid state
2;Active;Supervisor clear-thinking;30536;54873;2019-11-04T00:31:05;2019-11-03T19:34:03;invoice Devolved
3;Active;payment calculating;65761;30806;2019-11-03T22:32:01;2019-11-03T23:09:07;Berkshire
4;Inactive;Coordinator Cambridgeshire Investor;43439;79481;2019-11-04T03:46:15;2019-11-04T00:06:34;North Dakota Cambridgeshire
5;Inactive;local Shoes;64547;4360;2019-11-04T07:55:20;2019-11-03T12:18:14;Villages uniform PCI
6;Active;Wisconsin Facilitator Incredible;30569;38509;2019-11-04T07:35:27;2019-11-03T15:44:44;infrastructure
7;Active;Configuration UIC-Franc;57006;7041;2019-11-04T09:50:26;2019-11-04T07:09:31;Zambian Kwacha intuitive
8;Active;portal calculating Metal;70891;35949;2019-11-03T22:54:19;2019-11-04T05:07:36;redundant
9;Inactive;Borders;79829;19427;2019-11-03T20:34:26;2019-11-04T10:28:13;extend Unbranded Fresh Pants Tools
10;Inactive;implementation;15504;54264;2019-11-03T12:36:32;2019-11-04T05:17:45;Utah Computers Small Fresh Gloves
