id;status;progress;commission_amount;avg_rating;amount_received;user_name;user_id;fees;remarks
1;Propose;Three;18651;69581;4077;Kentucky Algerian Dinar Clothing;51209;80950;turn-key
2;Progress;One;67569;34106;73521;azure;54144;87733;Enhanced deposit parsing
3;Progress;Four;63310;18870;33902;cross-media;72595;84666;SCSI drive THX
4;Propose;Three;94013;66350;97366;clear-thinking;30536;54873;Cayman Islands Dollar invoice
5;Propose;One;32539;17882;74649;payment calculating;65761;30806;Benin Berkshire
6;Completed;Four;43439;79481;35007;payment Libyan Dinar;86416;19524;sensor
7;Completed;Two;95392;27956;91486;out-of-the-box Automotive Tactics;42818;55276;Wisconsin Facilitator Incredible
8;Completed;Four;39469;93615;84421;Intranet Ergonomic Concrete Soap Zambian Kwacha;35864;14008;Bedfordshire
9;Progress;Two;81011;25620;86707;Senior Avon;50151;62789;olive Handcrafted Cotton Bacon Unbranded Fresh Pants
10;Propose;Two;67202;3594;32815;Towels Specialist;83893;59083;Computers Small Fresh Gloves back-end
