id;cal_date;duration;remarks
1;2019-11-04T07:53:55;Morning0800;paradigms Home
2;2019-11-04T00:30:09;Morning1000;Designer Persistent
3;2019-11-03T16:39:11;Afternoon1400;Re-contextualized
4;2019-11-03T13:30:32;Morning1000;Solomon Islands Licensed
5;2019-11-03T12:44:13;Afternoon1400;Argentine Peso
6;2019-11-03T12:11:01;Afternoon1400;Buckinghamshire Future-proofed deposit
7;2019-11-04T04:35:57;Morning0800;Forint
8;2019-11-03T15:08:20;Afternoon1400;SMS Enhanced
9;2019-11-03T16:56:40;Afternoon1600;Borders content-based
10;2019-11-03T08:52:27;Afternoon1600;Human deposit
