id;txn_type;amount;total_amount_to_mentor;issued_time;remarks
1;ISSUED;55370;67251;2019-11-04T03:40:43;Data neural Wooden
2;CANCELLED;88770;54591;2019-11-04T00:21:44;Frozen Metal program
3;PAID;42609;70096;2019-11-04T03:26:32;revolutionize
4;ISSUED;98663;58130;2019-11-03T23:48:06;transition open-source Interactions
5;PAID;48166;77714;2019-11-03T23:42:45;system Triple-buffered
6;CANCELLED;49262;25368;2019-11-04T08:30:42;Parkway Handmade Wooden Cheese
7;PAID;74421;74604;2019-11-03T16:26:21;Versatile seize
8;CANCELLED;22359;43633;2019-11-03T09:40:01;Industrial Designer Incredible Fresh Car
9;PAID;25299;55385;2019-11-03T16:05:40;Sleek Tuna magenta
10;CANCELLED;62755;69692;2019-11-03T18:45:38;Legacy Unbranded Plastic Chips
