id;name;toc;preprequisites
1;Unbranded Cotton Table Generic B2B;olive;facilitate Persevering
2;Fantastic;zero defect Ridges Beauty;groupware
3;Credit Card Account clear-thinking Frozen;parsing;models New Mexico District
4;Accountability;Aruba Chair portals;online Strategist Shirt
5;navigate redefine;generating bypassing Bypass;Plastic Movies
6;SMS;Zimbabwe parse Customer;input Accounts
7;enhance Multi-channelled purple;Response;white SMTP
8;Checking Account global Steel;Borders Springs connecting;SAS
9;Planner Refined;engage Granite Grocery;bluetooth payment digital
10;Rubber Industrial seamless;withdrawal Jamaica;International
