id;status;name;commission_amount;avg_rating;start_date;end_date;remarks
1;Active;Internal AI optical;64203;85092;2019-11-04T06:45:53;2019-11-03T10:19:45;solid state
2;Inactive;Supervisor clear-thinking;30536;54873;2019-11-03T21:07:46;2019-11-03T16:10:43;invoice Devolved
3;Inactive;payment calculating;65761;30806;2019-11-03T19:08:41;2019-11-03T19:45:48;Berkshire
4;Active;Coordinator Cambridgeshire Investor;43439;79481;2019-11-04T00:22:56;2019-11-03T20:43:15;North Dakota Cambridgeshire
5;Inactive;local Shoes;64547;4360;2019-11-04T04:32:00;2019-11-03T08:54:54;Villages uniform PCI
6;Inactive;Wisconsin Facilitator Incredible;30569;38509;2019-11-04T04:12:08;2019-11-03T12:21:25;infrastructure
7;Inactive;Configuration UIC-Franc;57006;7041;2019-11-04T06:27:07;2019-11-04T03:46:12;Zambian Kwacha intuitive
8;Active;portal calculating Metal;70891;35949;2019-11-03T19:30:59;2019-11-04T01:44:16;redundant
9;Inactive;Borders;79829;19427;2019-11-03T17:11:06;2019-11-04T07:04:53;extend Unbranded Fresh Pants Tools
10;Active;implementation;15504;54264;2019-11-03T09:13:12;2019-11-04T01:54:26;Utah Computers Small Fresh Gloves
