id;status;progress;commission_amount;avg_rating;amount_received;user_name;fees;remarks
1;Propose;Two;8534;84202;5168;Iran;54063;deposit panel Strategist
2;Completed;Three;2535;18433;96264;navigating;69597;paradigms Salad Table
3;Progress;Three;66019;93461;27993;Operations alarm;55435;Credit Card Account paradigms
4;Progress;Two;1439;34187;11607;Ergonomic Steel Gloves;85546;Colombian Peso Unidad de Valor Real Bridge Handmade
5;Completed;Two;61585;94914;63509;Gorgeous Cotton Chair Personal Loan Account Borders;85648;payment Soap
6;Progress;Two;57547;67716;38816;deposit Station;54561;Web revolutionize Branding
7;Completed;Two;68300;33655;7118;functionalities quantifying;2327;open-source hybrid
8;Progress;One;73507;41794;80348;intermediate Table quantify;80683;Producer infrastructures
9;Propose;Two;75087;73990;75454;Fantastic;90255;Berkshire navigating
10;Progress;Three;1083;95854;90538;Fantastic time-frame Quality;95060;Missouri deposit
